respnum,ccgid,runid,intdate,day,gate,barea,strata,peak,method,saq,airline,destination,flight,airline_code,dest_code,destgeo,destmark,arrtime,deptime,howlong,q2purp1,q2purp2,q2purp3,q3getto1,q3getto2,q3getto3,q3park,q4bags,q4store,q4food,q4wifi,q5timesflown,q5firsttime,q6longuse,q7art,q7food,q7store,q7sign,q7walkway,q7screens,q7infodown,q7infoup,q7wifi,q7roads,q7park,q7airtrain,q7ltparking,q7rental,q7all,q8suggest1,q8suggest2,q8suggest3,q8suggest4,q8suggest5,q9boarding,q9airtrain,q9rental,q9food,q9restroom,q9all,q9com1,q9com2,q9com3,q10safe,q10com1,q10com2,q10com3,q11tsapre,q12precheckrate,q12com1,q12com2,q12com3,q13county,q13getrate,q14find,q14passthru,q15problem,q15com1,q15com2,q15com3,netpro,q17live,q18city,q18state,q18zip,q18country,home,q20age,q21gender,q22income,q23fly,q24sjc,q24oak,lang,weight,promoter,netpro_type
1804,2482,396,25,5,3,A,3,3,1,2,VIRGIN ATLANTIC,LONDON-HEATHROW,42,39,32,6,4,19:05:00,20:40:00,95,2,3.0,,2,,,,1,2,2,2,3,1,2,4,4,4,4,4,4,6,6,4,4,5,6,6,6,4,201,5.0,,,,3,6,6,4,4,4,0,,,4,4,,,2,,,,,6,3,4,3,2,,,,8,1,MOUNTAIN VIEW,CA,,US,4,2,1,2,2,1,2,1,0.723115625,1,2
1805,2526,404,24,4,92,G,1,3,1,1,AIR CANADA,VANCOUVER,561,3,68,4,2,5:00:00,06:30:00,90,2,,,5,,,,2,2,2,1,1,2,1,4,2,3,3,4,3,3,4,5,6,6,6,6,3,3,102,63.0,,,,4,6,6,6,4,4,0,,,5,4,,,2,,,,,5,4,3,4,3,,,,6,3,CALGARY,AB,,CANADA,13,2,2,1,2,2,2,1,0.2847177142857143,0,1
1806,2483,396,25,5,3,A,3,3,1,2,VIRGIN ATLANTIC,LONDON-HEATHROW,42,39,32,6,4,5:30 PM,20:40:00,190,3,,,6,,,,1,2,2,1,1,1,4,5,6,6,3,3,6,6,6,5,6,6,6,6,6,5,14,,,,,5,6,6,6,5,5,0,,,5,7,,,2,,,,,1,4,5,5,2,,,,10,1,BERKELEY,CA,94702.0,US,3,2,2,2,2,2,1,1,0.723115625,1,2
1807,2484,396,25,5,3,A,3,3,1,2,VIRGIN ATLANTIC,LONDON-HEATHROW,42,39,32,6,4,6:30 PM,20:40:00,130,3,,,9,,,,1,1,2,2,2,1,4,5,3,3,4,4,6,6,6,6,4,6,5,6,4,4,102,,,,,4,4,4,4,3,4,0,,,3,10,,,1,5,1,,,31,2,5,5,2,,,,10,3,GLOUCHESTERSHIRE,,,UK,15,6,2,0,2,2,4,1,0.723115625,1,2
1808,2527,404,24,4,92,G,1,3,1,2,AIR CANADA,VANCOUVER,561,3,68,4,2,4:35 AM,06:30:00,115,2,,,2,,,,1,2,2,1,2,1,1,6,6,6,5,5,5,5,6,5,5,6,6,6,6,5,1,,,,,6,6,6,6,5,5,0,,,5,4,,,2,,,,,14,5,5,5,2,,,,10,2,SACRAMENTO,CA,95624.0,US,10,2,1,1,2,2,2,1,0.2847177142857143,1,2
1809,2528,404,24,4,92,G,1,3,1,2,AIR CANADA,VANCOUVER,561,3,68,4,2,4:20 AM,06:30:00,130,2,,,2,,,,1,2,2,1,1,1,4,5,6,6,3,4,4,6,6,1,5,6,6,6,6,4,206,,,,,4,6,6,6,0,4,1,,,4,7,,,1,5,0,,,6,5,4,4,1,21.0,32.0,,10,2,FOLSOM,CA,95630.0,US,10,6,1,1,2,2,2,1,0.2847177142857143,1,2
1810,2485,396,25,5,3,A,3,3,1,2,VIRGIN ATLANTIC,LONDON-HEATHROW,42,39,32,6,4,15:40:00,20:40:00,300,1,,,9,,,,1,2,1,1,1,1,4,3,2,3,4,4,4,4,4,3,3,6,4,6,4,3,105,151.0,,,,4,4,4,4,4,4,0,,,5,0,,,2,,,,,7,0,4,3,2,,,,8,3,WOLVERHAMPTON,,,UK,15,4,1,3,2,1,1,1,0.723115625,1,2
1811,2529,404,24,4,92,G,1,3,1,2,AIR CANADA,VANCOUVER,561,3,68,4,2,4:30 AM,06:30:00,120,2,,,2,,,,1,2,2,1,1,1,4,5,4,4,4,3,4,4,4,4,4,3,3,6,6,4,0,,,,,5,4,6,4,4,5,0,,,3,0,,,2,,,,,1,4,4,4,2,,,,8,1,UNION CITY,CA,94587.0,US,3,6,2,4,1,4,1,1,0.2847177142857143,1,2
1812,2486,396,25,5,3,A,3,3,1,2,VIRGIN ATLANTIC,LONDON-HEATHROW,42,39,32,6,4,17:00:00,20:40:00,220,2,,,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,101.0,,,,0,0,0,0,0,0,0,,,0,0,,,1,5,1,,,1,0,3,3,2,,,,10,3,,,,ZAMBIA,18,5,2,2,2,2,2,1,0.723115625,1,2
1813,2530,404,24,4,92,G,1,3,1,2,AIR CANADA,VANCOUVER,561,3,68,4,2,4:10 AM,06:30:00,140,2,,,2,,,,1,1,2,1,3,1,1,3,3,3,4,4,5,6,6,5,3,3,6,6,6,3,0,,,,,4,6,6,4,4,4,0,,,5,0,,,3,,,,,7,5,4,4,2,,,,6,1,SANTA CLARA,CA,95051.0,US,4,2,2,2,1,1,4,1,0.2847177142857143,0,1
